issue_type,path,src_size,dst_size,size_equal,src_modtime_epoch,dst_modtime_epoch,modtime_diff_seconds,within_tolerance
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_21.rar,34384553980,,,1675652452.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_23.rar,42067755584,,,1675662591.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_25.rar,29778010236,,,1675732630.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_26.rar,31873538087,,,1675737250.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_27.rar,43052036048,,,1675742971.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_31.rar,46040595933,,,1675734257.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_32.rar,42863550190,,,1675742444.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_33.rar,40650598101,,,1675747766.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_34.rar,38474493243,,,1675748550.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_35.rar,37148572945,,,1675753390.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_36.rar,37286278451,,,1675821172.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_37.rar,37305494986,,,1675906859.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_39.rar,37857682420,,,1675917432.0,,,
missing_on_box,CSSSC_Amrita_Bazar_Patrika/Tapan Paul - Amrita_Bazar_Patrika [Daily]_40.rar,36669531618,,,1675922380.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/014/BB003_1931-05-04_00001.jpg,1776933,,,1663205118.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/014/BB003_1931-05-04_00002.jpg,1999816,,,1663205458.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/014/BB003_1931-05-04_00003.jpg,1872818,,,1663205122.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/014/BB003_1931-05-04_00004.jpg,1925906,,,1663205462.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/015/BB003_1931-05-11_00001.jpg,1930619,,,1663205128.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/015/BB003_1931-05-11_00002.jpg,2008810,,,1663205468.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/015/BB003_1931-05-11_00003.jpg,1954026,,,1663205132.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_JPEG/015/BB003_1931-05-11_00004.jpg,2019002,,,1663205472.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_JPEG/008/RAT001_1915-07-15_00001.jpg,1587172,,,1676171707.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_JPEG/008/RAT001_1915-07-15_00002.jpg,1664264,,,1676171707.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_JPEG/008/RAT001_1915-07-15_00003.jpg,1856423,,,1676171707.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_JPEG/008/RAT001_1915-07-15_00004.jpg,1627664,,,1676171707.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_JPEG/008/RAT001_1915-07-15_00005.jpg,1652228,,,1676171707.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_JPEG/008/RAT001_1915-07-15_00006.jpg,1741282,,,1676171707.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_JPEG/008/RAT001_1915-07-15_00007.jpg,1805012,,,1676171708.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Ratnakar 1915/RAT001_1915_Utkal_Barta_JPEG/008/RAT001_1915-07-15_00008.jpg,1988076,,,1676171708.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_TIFF/015/BB003_1931-05-11_00001.tif,24458194,,,1663204434.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_TIFF/015/BB003_1931-05-11_00002.tif,23289172,,,1663204738.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_TIFF/015/BB003_1931-05-11_00003.tif,24086140,,,1663204436.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/Baikuntha Bhikari 1931/BB003_1931_Baikuntha_Bhikari_TIFF/015/BB003_1931-05-11_00004.tif,23346090,,,1663204744.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1930/PUBA004_1930_Puribasi_JPEG/009/PUBA004_1930-03-04_00001.jpg,1540516,,,1676171505.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1930/PUBA004_1930_Puribasi_JPEG/009/PUBA004_1930-03-04_00002.jpg,2060219,,,1676171505.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1930/PUBA004_1930_Puribasi_JPEG/009/PUBA004_1930-03-04_00003.jpg,1790196,,,1676171505.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1930/PUBA004_1930_Puribasi_JPEG/009/PUBA004_1930-03-04_00004.jpg,1596508,,,1676171505.0,,,
missing_on_box,USS-Ravenshaw-Odia_Serials/USS-Ravenshaw-part2/Puribasi 1930/PUBA004_1930_Puribasi_JPEG/009/PUBA004_1930-03-04_00005.jpg,1544881,,,1676171505.0,,,
